code	name	group	energy_kcal	protein_g	carbs_g	sugars_g	fat_g	sat_fat_g	fiber_g	sodium_mg
13705	Macédoine ou cocktail ou salade de fruits, au sirop (sans précision sur léger ou classique), appertisé, égouttée (aliment moyen)	fruits	64,9	0,25	15,2	13	< 0,5	-	2	< 5
13706	Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté	fruits	71,3	0,25	16,8	13,8	< 0,5	-	2,1	< 5
13707	Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté	fruits	74,8	0,25	17,8	14,3	< 0,5	-	1,26	1,2
13708	Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté	fruits	59,1	0,25	13,7	12,2	< 0,5	-	1,9	< 5
13709	Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté	fruits	59,7	0,25	14	12,3	0,061	0,009	1,18	1,02
13712	Abricot au sirop léger, appertisé, égoutté	fruits	61,1	0,94	13,5	13,1	< 0,5	-	1,4	9,7
13713	Abricot au sirop léger, appertisé, non égoutté	fruits	62,5	0,81	14	14	0,043	0,003	0,83	9,86
13714	Abricot au sirop, appertisé, égoutté	fruits	69,6	0,5	16	15,3	< 0,5	-	1,4	12
13715	Abricot au sirop, appertisé, non égoutté	fruits	69,7	0,29	16,3	15,1	< 0,5	-	0,81	12
13716	Ananas au jus d'ananas, appertisé, égoutté	fruits	56	0,25	12,9	12,8	< 0,5	-	1,4	< 1
13717	Ananas au jus d'ananas, appertisé, non égoutté	fruits	55	0,25	12,9	12,6	< 0,5	-	0,92	0,2
13718	Ananas au sirop léger, appertisé, égoutté	fruits	65,8	0,25	15,3	15,3	< 0,5	-	1,6	1,9
13719	Ananas au sirop léger, appertisé, non égoutté	fruits	66,5	0,25	15,6	15,6	0,078	0,009	1,01	1,86
13724	Litchi, chair sans peau, sans noyau, au sirop léger, appertisé, égoutté	fruits	62,8	0,63	14,3	14	0,19	0,055	1,1	< 2
13730	Pêche, sans noyau, au sirop léger, appertisée, égouttée	fruits	59	0,5	13,5	13,1	< 0,5	-	1,5	< 5
13731	Pêche, sans noyau, au sirop léger, appertisée, non égouttée	fruits	60	0,31	14	12,9	0,038	0,003	0,92	0,9
13734	Poire au sirop léger, appertisée, égouttée	fruits	63,9	0,25	13,9	11,5	0,4	-	2,6	< 5
13735	Poire au sirop léger, appertisée, non égouttée	fruits	62,6	0,3	14,5	12,8	0,12	0,002	1,23	5
13001	Abricot, dénoyauté, sec	fruits	239	2,88	59,1	34,3	0,5	0,19	8,3	< 5
13011	Datte, chair et peau, sans noyau, sèche	fruits	287	1,81	64,7	64,7	0,25	0,075	7,3	39
13013	Figue, sèche	fruits	261	2,9	55	48,4	1,22	0,57	8,15	86,3
13042	Pruneau, sans noyau, sec	fruits	229	1,63	55,4	38,1	0,4	0,16	5,1	< 5
13046	Raisin sec	fruits	322	3	73,2	70,3	0,9	0,31	4,2	5
13051	Mélange apéritif de fruits exotiques, sec	fruits	389	2,19	69,5	59,4	10,5	9,16	3,4	88
13089	Banane, chair sans peau, sèche	fruits	365	3,89	78,4	47,3	1,81	0,7	9,9	3
13111	Pomme, sèche	fruits	247	0,93	55	52,5	0,32	0,052	8,7	87
13118	Pêche, chair et peau, sans noyau, sèche	fruits	329	5	65,4	51,1	1	0,092	14,3	79
13178	Canneberge ou cranberry, séchée, sucrée	fruits	332	0,25	76,4	72,8	1	0,2	5,7	< 5
13183	Baie de goji, séchée	fruits	300	12,1	49	48,4	2,9	0,75	11,8	362
13623	Abricot, dénoyauté, sec, moelleux (réhydraté à 35-45%)	fruits	200	2,31	51,1	29,9	0,4	0,16	3,5	< 5
13996	Fruit séché (aliment moyen)	fruits	267	2,13	61,3	52,1	0,56	0,21	6,43	27
13400	Abricot pays, chair et peau, sans noyau, au sirop, appertisé, non égoutté, prélevé à la Martinique	fruits	-	0,28	13,3	7,3	0,1	-	1,8	-
13401	Abricot pays, chair et peau, sans noyau, cru, prélevé à la Martinique	fruits	-	0,48	10,8	3,7	0,05	-	3,1	-
13402	Ananas, chair sans peau, cru , prélevé à la Martinique	fruits	-	0,56	-	-	0	-	-	-
13403	Caïmite (ou pomme étoile ou pomme de lait), chair sans peau, cru, prélevé à la Martinique	fruits	-	0,31	-	-	2,87	-	-	-
13404	Cerise acérola, chair et peau, sans noyau, crue, prélevée à la Martinique	fruits	-	0,56	-	-	0,097	-	-	-
13405	Chadèque, chair sans peau, sans pépins, cru, prélevé à la Martinique	fruits	-	0,48	-	-	0,3	-	-	-
13406	Chips d'abricot pays, prélevé à la Martinique	fruits	-	0,96	68,7	33,3	18,7	-	6,2	-
13407	Goyave, chair sans peau, purée, prélevée à la Martinique	fruits	-	0,83	-	-	0,0067	-	-	-
13408	Jus de carambole, prélevé à la Martinique, jus filtré	fruits	-	-	-	-	0,15	-	-	-
13409	Jus de carambole, prélevée à la Martinique, jus non filtré	fruits	-	0,063	-	-	0,03	-	-	-
13410	Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique	fruits	-	0,48	-	-	0,14	-	-	-
13411	Jus de citron vert (variété gros calibre), pur jus, prélevé à la Martinique	fruits	-	0,69	-	-	0,46	-	-	-
13412	Jus de corossol, prélevé à la Martinique	fruits	-	0,65	-	-	0,43	-	-	-
13413	Jus de fruit de la passion ou maracudja, prélevé à la Martinique, pur jus	fruits	-	1,08	-	-	0,37	-	-	-
13414	Jus de grenade, prélevée à la Martinique	fruits	-	0,69	-	-	0	-	-	-
13415	Jus de lime, pur jus, prélevé à la Martinique	fruits	-	0,35	-	-	0,57	-	-	-
13416	Jus de mandarine commune, pur jus filtré pasteurisé, prélevée à la Martinique	fruits	37,6	-	9,4	9,4	0	-	< 0,5	-
13417	Jus de mandarine commune, pur jus filtré, prélevée à la Martinique	fruits	42,1	0,61	8,63	8,63	0,57	-	< 0,5	-
13418	Jus de mandarine macaque, pur jus filtré, prélevée à la Martinique	fruits	45,5	0,6	10,8	3,87	0	-	< 0,5	-
13419	Jus de moubin, pur jus, prélevé à la Martinique	fruits	-	0,88	-	-	0,19	-	-	-
13420	Jus de pamplemousse (variété locale), pur jus, prélevé à la Martinique	fruits	-	0,42	-	-	0,19	-	-	-
13421	"Jus de prune de cythère verte ""géante"" (variété locale), fruit mûr, pur jus filtré, prélevée à la Martinique"	fruits	33,4	0,29	7,13	4,34	0,19	-	1	-
13422	"Jus de prune de cythère verte ""géante"" (variété locale), fruit vert, pur jus filtré, prélevée à la Martinique"	fruits	32	0,44	6,55	0,03	0,28	-	0,8	-
13423	"Jus de prune de cythère verte ""naine"" (variété hybride), fruit mûr, pur jus filtré, prélevée à la Martinique"	fruits	46,4	0,69	9,97	6,14	0,21	-	0,9	-
13424	"Jus de prune de cythère verte ""naine"" (variété hybride), fruit vert, pur jus filtré, prélevée à la Martinique"	fruits	31,9	0,67	6,34	0,19	0,26	-	0,8	-
13425	Mandarine commune, chair sans peau, sans pépins, au sirop, appertisée, non égouttée, prélevée à la Martinique	fruits	-	-	17,4	17,4	-	-	0,7	-
13426	Mango bassignac, chair sans peau, sans noyau, cru, prélevé à la Martinique	fruits	-	0,32	18,5	-	traces	-	3,2	-
13427	Mangue moussache, chair sans peau, sans noyau, crue, prélevé à la Martinique	fruits	-	1,28	20,9	-	traces	-	2	-
13428	Mangue julie, chair sans peau, sans noyau, crue, prélevée à la Martinique	fruits	-	0,71	18,3	-	traces	-	2,8	-
13429	Mangue verte, chair sans peau, sans noyau, crue, prélevée à la Martinique	fruits	-	1,31	12,2	-	traces	-	3,4	-
13430	Melon, chair sans peau, sans pépins, cru, prélevé à la Martinique	fruits	-	1,08	-	-	0,047	-	-	-
13431	Orange (variété locale), chair sans peau, sans pépins, prélevée à la Martinique	fruits	-	0,6	-	-	0,67	-	-	-
13432	Orange amère, chair sans peau, sans pépins, crue, prélevée à la Martinique	fruits	-	0,73	-	-	0,43	-	-	-
13433	Pastèque, chair sans peau, sans pépins, crue, prélevée à la Martinique	fruits	-	0,77	-	-	0,26	-	-	-
13434	Pomme cajou, chair et peau, crue, prélevée à la Martinique	fruits	-	0,79	-	-	0,11	-	-	-
13435	Pomme cannelle, chair sans peau, sans pépins, crue, prélevée à la Martinique	fruits	-	1,48	-	-	0,57	-	-	-
13436	Pomme d'eau ou pomme malaca, chair sans peau, sans noyau, crue, prélevée à la Martinique	fruits	-	0,44	-	-	0,023	-	-	-
13437	Pomme liane, chair sans peau, avec pépins, crue, prélevée à la Martinique	fruits	-	0,88	-	-	0,22	-	-	-
13438	Prune de cythère, chair et peau, avec pépins, mûre, crue, prélevée à la Martinique	fruits	-	0,54	-	-	0,03	-	-	-
13439	Prune de cythère, chair et peau, avec pépins, verte ou immature, crue, prélevée à la Martinique	fruits	-	0,6	-	-	0,07	-	-	-
13440	Fruit du jacquier ou jacque, chair sans peau, cru, prélevé à la Martinique	fruits	-	1,98	-	-	0,21	-	-	-
13200	Mangue José, chair sans peau, sans noyau, crue, prélevée à La Réunion (Mangifera indica L.)	fruits	88,8	0,75	19,3	18,4	0,5	0,18	1,8	< 5
13201	Ananas Victoria ou Queen Victoria, chair sans peau, crue, prélevé à La Réunion	fruits	69,8	0,94	15,1	14,9	< 0,3	< 0,01	2,4	< 5
13202	Papaye Colombo (fruit mûr), chair sans peau, sans pépins, crue, prélevée à La Réunion (Carica papaya L.)	fruits	38	0,56	7,88	7,7	< 0,3	< 0,01	2,2	< 5
15000	Amande, avec peau, sans sel ajouté	fruits à coque et graines oléagineuses	615	18,8	9,51	4,2	51,3	4,11	12,5	< 5
15001	Cacahuète, sans sel ajouté	fruits à coque et graines oléagineuses	623	22,8	14,8	5,9	49,1	8,4	8,6	8,6
15002	Cacahuète, grillée, salée	fruits à coque et graines oléagineuses	635	22,9	14,2	4,25	50,8	8,63	8,08	501
15004	Noisette, sans sel ajouté	fruits à coque et graines oléagineuses	632	14,4	7,16	4,9	56,9	4,75	11,6	< 5
15005	Noix, cerneau, séchée	fruits à coque et graines oléagineuses	709	13,3	6,88	3	67,3	6,45	6,7	< 5
15006	Noix de coco, chair, fraîche	fruits à coque et graines oléagineuses	369	3,47	4,69	4,69	34,7	30,3	10,6	18,5
15007	Noix de coco, chair, sèche	fruits à coque et graines oléagineuses	692	6,83	7,81	6,93	66,8	60,6	13,7	30,5
15008	Noix du Brésil ou noix d'Amazonie, sans sel ajouté	fruits à coque et graines oléagineuses	701	14,3	4,23	2,33	67,1	16,1	7,5	3
15009	Pistache, grillée, salée	fruits à coque et graines oléagineuses	617	18,9	15,9	7,57	49,5	6,58	9,32	664
15010	Sésame, graine	fruits à coque et graines oléagineuses	606	17,7	12,8	0,3	49,7	6,96	11,8	2,31
15011	Tournesol, graine	fruits à coque et graines oléagineuses	653	21,3	10,1	2,62	55,5	6,23	6,4	9
15014	Noix de coco, amande immature, fraîche	fruits à coque et graines oléagineuses	360	3,33	6,22	6,22	33,5	29,7	9	20
15015	Purée de marrons, appertisée	fruits à coque et graines oléagineuses	102	2,28	22,8	-	-	-	-	1,03
15017	Mélange apéritif de graines salées et fruits séchés	fruits à coque et graines oléagineuses	583	16,9	23,7	23,7	44,1	4,18	5,86	857
15018	Mélange apéritif de graines salées et raisins secs	fruits à coque et graines oléagineuses	561	16,6	27,1	21,6	39,6	4,98	8,4	169
15019	Noix de cajou, grillée, salée	fruits à coque et graines oléagineuses	632	15,2	26,7	8,01	49,5	10,5	3,85	455
15020	Châtaigne, bouillie/cuite à l'eau	fruits à coque et graines oléagineuses	123	2	23	traces	1,38	0,26	4,5	27
15021	Châtaigne, grillée	fruits à coque et graines oléagineuses	211	3,34	41,1	11,3	1,7	0,27	7,1	< 2
15024	Châtaigne, crue	fruits à coque et graines oléagineuses	189	2,02	36,8	7,92	1,76	0,33	8,1	2,5
15025	Pignon de pin	fruits à coque et graines oléagineuses	712	13,7	2,93	1,83	68,4	4,9	10	9
15026	Noix de pécan, sans sel ajouté	fruits à coque et graines oléagineuses	727	9,17	4,25	3,81	72	6,18	9,6	0
15027	Noix de macadamia, sans sel ajouté	fruits à coque et graines oléagineuses	757	7,91	5,22	4,24	75,8	12,1	8,6	5
15032	Luzerne, graine	fruits à coque et graines oléagineuses	426	29,7	39,3	-	12,6	-	7,9	-
15033	Noisette grillée, sans sel ajouté	fruits à coque et graines oléagineuses	684	14,4	8,81	4,89	62,4	4,51	9,4	-
15034	Lin, graine	fruits à coque et graines oléagineuses	528	19	6,49	1,64	40,3	4,26	24,4	40
15035	Sésame, graine décortiquée	fruits à coque et graines oléagineuses	620	20,4	10,3	0,48	51	7,9	11,6	47
15037	Cacahuète, grillée à sec, salée	fruits à coque et graines oléagineuses	615	21,6	17,9	3,7	47,7	7	7,4	700
15038	Sésame, grillé, graine décortiquée	fruits à coque et graines oléagineuses	582	17	9,14	0,48	48	6,72	16,9	39
15039	Châtaigne ou marron, appertisé	fruits à coque et graines oléagineuses	145	1,96	28,8	3,9	1,4	0,4	4	52,1
15041	Amande, émondée, sans sel ajouté	fruits à coque et graines oléagineuses	631	21,4	8,76	4,63	52,5	3,95	9,9	19
15042	Amande, grillée, salée	fruits à coque et graines oléagineuses	647	20	12,2	3,94	53,9	5,68	8,46	380
15043	Noix de macadamia, grillée, salée	fruits à coque et graines oléagineuses	724	7,04	9,95	4,4	70,2	11	9,5	360
15044	Pistache, grillée, sans sel ajouté	fruits à coque et graines oléagineuses	631	18,4	14,9	7,75	51,6	6,45	10,2	7,7
15045	Tournesol, graine, grillé, salé	fruits à coque et graines oléagineuses	626	21,2	12,7	3,3	51	2,2	8,3	2000
15046	Noix de pécan, salées	fruits à coque et graines oléagineuses	731	10,2	5	4,9	73	7,1	3	400
15047	Chia, graine, séchée	fruits à coque et graines oléagineuses	454	16,5	7,72	-	30,7	3,33	34,4	16
15048	Mélange apéritif de graines et fruits séchés, sans sel ajouté	fruits à coque et graines oléagineuses	493	8,29	51	7	26,3	5,07	6,36	117
15049	Mélange apéritif de graines et raisins secs, sans sel ajouté	fruits à coque et graines oléagineuses	541	12,5	31,8	29,4	37,2	4,96	9,6	7
15050	Noisette grillée, salée	fruits à coque et graines oléagineuses	664	13,4	7,67	2,91	61,2	6,43	9,43	333
15052	Lin, brun, graine	fruits à coque et graines oléagineuses	533	18	3,56	1,4	42,2	4,61	26,9	38
15053	Cacahuète, grillée, sans sel ajouté	fruits à coque et graines oléagineuses	644	23,5	14,4	6,01	51,9	6,01	5,7	< 2
15054	Noix de cajou, grillée, sans sel ajouté	fruits à coque et graines oléagineuses	618	17,4	21,3	6,64	48,1	8,24	8,4	6
15055	Noix de cajou, grillée à sec, sans sel ajouté	fruits à coque et graines oléagineuses	630	17,4	23,5	6,63	49	8,87	5,7	8
15057	Cacahuète, grillée, aromatisée	fruits à coque et graines oléagineuses	598	22,8	14,6	3,62	46,6	8,73	7,8	769
15059	Mélange apéritif de graines grillées, salées	fruits à coque et graines oléagineuses	637	18,6	9,69	4,55	54,7	8,91	10,5	376
15062	Amande, grillée, salée, goût fumé	fruits à coque et graines oléagineuses	629	18,6	9,01	4,56	54	4,31	8,25	480
15063	Chanvre ou chènevis, graine décortiquée	fruits à coque et graines oléagineuses	617	30,8	5,38	1,5	48,8	4,6	4	5
15064	Courge, graine, séchée	fruits à coque et graines oléagineuses	618	29,5	5,39	1,4	49,1	8,66	6	7
15065	Fruits à coques et cacahuète, salé (aliment moyen)	fruits à coque et graines oléagineuses	630	20,4	17,6	5,15	50,1	8,28	7,13	537
15066	Fruits à coques et cacahuète, sans sel ajouté (aliment moyen)	fruits à coque et graines oléagineuses	632	15,5	10,5	5,55	55	5,89	10,7	3,88
15202	Beurre de cacahuète ou pâte d'arachide	fruits à coque et graines oléagineuses	643	22,2	17,3	10,5	51,4	10,1	5	426
15203	Tahin ou purée de sésame	fruits à coque et graines oléagineuses	631	17,7	13,8	0,49	53,4	7,48	7	75
20901	Soja, graine entière	fruits à coque et graines oléagineuses	441	36,5	20,9	7,33	19,9	2,88	9,3	2
9081	Blé dur (grains entiers), précuit, cuit, sans sel ajouté	pâtes, riz et céréales	153	5,36	28,2	0,18	1,1	0,19	3,5	17
9103	Riz complet, cuit, sans sel ajouté	pâtes, riz et céréales	187	3,87	37,6	0,13	1,8	0,43	2,1	14
9104	Riz blanc, cuit, sans sel ajouté	pâtes, riz et céréales	155	3,15	33,2	traces	0,7	0,17	1,4	18
9105	Riz blanc étuvé, cuit, sans sel ajouté	pâtes, riz et céréales	146	2,95	31,7	0,11	0,56	0,074	1,1	2,35
9107	Riz blanc, précuit, cuit, sans sel ajouté	pâtes, riz et céréales	-	-	28,1	traces	1,3	-	1	1
9110	Riz rouge, cuit, sans sel ajouté	pâtes, riz et céréales	141	3,45	28,2	traces	0,69	-	4	3,5
9111	Riz sauvage, cuit, sans sel ajouté	pâtes, riz et céréales	102	3,8	19,7	0,73	0,34	0,049	1,8	3
9113	Riz semi-complet, cuit, sans sel ajouté	pâtes, riz et céréales	165	3,63	34,4	traces	1	0,22	1,7	25
9124	Riz thaï, cuit, sans sel ajouté	pâtes, riz et céréales	143	2,38	31,4	traces	0,8	0,14	< 0,5	16
9125	Riz basmati, cuit, sans sel ajouté	pâtes, riz et céréales	148	3,03	32,9	traces	0,4	0,14	< 0,5	18
9313	Flocons d'avoine bouillis/cuits à l'eau	pâtes, riz et céréales	69,1	2,54	10,3	0,23	1,52	0,31	1,7	4
9322	Orge perlée, bouilli/cuite à l'eau, sans sel ajouté	pâtes, riz et céréales	119	2,26	24,4	0,28	0,44	0,093	3,8	3
9331	Mil, cuit, sans sel ajouté	pâtes, riz et céréales	116	3,51	22,4	0,13	1	0,17	1,3	2
9341	Quinoa, bouilli/cuit à l'eau, sans sel ajouté	pâtes, riz et céréales	149	4,66	27,9	0,87	1,1	0,14	3,8	6
9615	Polenta ou semoule de maïs, cuite, sans sel ajouté	pâtes, riz et céréales	76,1	1,38	16,9	0,1	< 0,3	< 0,01	1,6	< 5
9683	Semoule ou graine de couscous, cuite, sans sel ajouté	pâtes, riz et céréales	164	5,81	31	3,36	0,9	0,21	2,8	15
9685	Semoule ou graine de couscous complète, cuite, sans sel ajouté	pâtes, riz et céréales	142	4,28	26,8	1,38	1	0,21	3,7	16
9686	Semoule ou graine de couscous semi-complète, cuite, sans sel ajouté	pâtes, riz et céréales	170	5,59	32,4	1,15	1	0,22	3,2	8
9691	Boulgour de blé, cuit, sans sel ajouté	pâtes, riz et céréales	131	4,31	24,1	traces	1	0,16	3,7	13
9811	Pâtes sèches, standard, cuites, sans sel ajouté	pâtes, riz et céréales	167	6,1	31,4	0,87	1,1	0,2	2,2	19
9816	Pâtes fraîches, aux oeufs, cuites, sans sel ajouté	pâtes, riz et céréales	168	5,76	32	traces	1,3	-	1,5	16,8
9822	Pâtes sèches, aux oeufs, cuites, sans sel ajouté	pâtes, riz et céréales	134	4,57	23	0,8	2	0,42	2	< 5
9824	Pâtes sèches, sans gluten, cuites, sans sel ajouté	pâtes, riz et céréales	163	3,09	34,4	0,49	1,1	0,29	1	5,9
9871	Pâtes sèches, au blé complet, cuites, sans sel ajouté	pâtes, riz et céréales	179	7,35	31,3	0,94	1,4	0,27	5,1	22
9875	Pâtes sèches, sans gluten (à base de riz et maïs), cuites, sans sel ajouté	pâtes, riz et céréales	170	3,15	36,6	traces	0,8	0,35	1,3	< 5
9876	Pâtes sèches, sans gluten (à base de lentilles corail), cuites, sans sel ajouté	pâtes, riz et céréales	168	11,7	25,1	1,03	0,8	0,16	4,9	< 5
9877	Pâtes sèches, semi-complètes, cuites, sans sel ajouté	pâtes, riz et céréales	173	5,71	31,8	0,99	1,2	0,22	4,5	15
9901	Vermicelle de riz, cuite, sans sel ajouté	pâtes, riz et céréales	86,6	1,43	20,1	< 0,2	< 0,5	< 0,01	< 0,5	9,5
9903	Vermicelle de soja, cuite, sans sel ajouté	pâtes, riz et céréales	60	0,29	14,4	0	0,1	-	0,8	2,5
25510	Gnocchi à la pomme de terre, cuit	pâtes, riz et céréales	178	5,01	34,1	1,1	2,05	0,26	1,75	402
51511	Frik (blé dur immature concassé), cuit, sans sel ajouté	pâtes, riz et céréales	76	2,04	14	traces	0,48	-	3,5	2
9001	Épeautre, cru	pâtes, riz et céréales	344	14,6	59,5	6,68	2,43	0,41	10,7	8
9003	Blé de Khorasan, cru	pâtes, riz et céréales	342	14,5	59,5	7,74	2,13	0,2	11,1	5
9060	Blé dur complet, cru	pâtes, riz et céréales	342	13,7	59,3	1,8	2,47	0,45	11,8	2
9080	Blé dur complet, précuit, à cuire	pâtes, riz et céréales	359	13,7	67,7	0,83	1,83	0,37	6,67	4
9100	Riz blanc, cru	pâtes, riz et céréales	350	7,02	77,5	0,12	0,79	0,16	1,53	2,33
9101	Riz blanc étuvé, cru	pâtes, riz et céréales	361	7,33	79,4	0,33	1,02	0,25	1,65	4
9102	Riz complet, cru	pâtes, riz et céréales	350	7,02	71,4	0	2,8	0,56	5	4,1
9108	Riz sauvage, cru	pâtes, riz et céréales	344	11,1	69,2	0,9	0,94	0,15	5,9	2,7
9109	Riz rouge, cru	pâtes, riz et céréales	352	7,97	70,6	traces	3	-	4,5	11
9119	Riz thaï ou basmati, cru	pâtes, riz et céréales	351	7,08	78,4	0	0,63	0,18	1,06	14,2
9121	Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru	pâtes, riz et céréales	355	7,14	78,1	0,5	1	0,2	1,5	10
9310	Avoine, crue	pâtes, riz et céréales	378	16,9	55,7	1,2	6,9	1,22	10,6	2
9320	Orge complète, crue	pâtes, riz et céréales	334	12,5	56,2	0,8	2,3	0,48	17,3	12
9321	Orge perlée, crue	pâtes, riz et céréales	346	9,91	68,6	0,8	1,16	0,24	9,1	9
9330	Mil complet, cru	pâtes, riz et céréales	360	11	64,3	-	4,22	0,72	8,5	5
9340	Quinoa, cru	pâtes, riz et céréales	358	13,2	58,1	-	6,07	0,71	7	5
9345	Amarante, crue	pâtes, riz et céréales	369	13,5	58,6	1,68	7,02	1,46	6,7	4
9360	Sorgho complet, cru	pâtes, riz et céréales	349	10,6	65,4	2,48	3,46	0,61	6,7	2
9380	Sarrasin complet, cru	pâtes, riz et céréales	362	13,3	67,5	-	3,4	0,74	4	1
9390	Seigle complet, cru	pâtes, riz et céréales	332	10,3	60,8	0,98	1,63	0,2	15,1	2
9610	Semoule de blé dur, crue	pâtes, riz et céréales	350	11,8	69,8	1	1,28	0,23	3,7	1
9612	Mélange de céréales et légumes secs, cru	pâtes, riz et céréales	354	13,7	59	4,5	4	0,5	11	397
9614	Polenta ou semoule de maïs, précuite, à cuire	pâtes, riz et céréales	350	7,88	74	traces	1,8	-	3,2	1,7
9681	Graine de couscous (semoule de blé dur précuite), à cuire	pâtes, riz et céréales	366	12,3	72,7	3,5	1,32	0,26	4,5	7
9690	Boulgour de blé, cru	pâtes, riz et céréales	347	11,7	65,8	0,41	1,42	0,23	10,5	17
9810	Pâtes sèches, standard, crues	pâtes, riz et céréales	364	12	72,7	2,58	1,6	0,33	2,91	6,2
9815	Pâtes fraîches, aux oeufs, crues	pâtes, riz et céréales	283	10,1	53,8	2,54	1,87	0,49	3,17	156
9821	Pâtes sèches, aux oeufs, crues	pâtes, riz et céréales	381	14	68	2,19	4,72	1,34	3,15	34
9863	Pâtes ou nouilles asiatiques sèches, au blé et aux oeufs, nature, crues	pâtes, riz et céréales	371	11,9	71	0,5	3	1	4	397
9870	Pâtes sèches, au blé complet, crues	pâtes, riz et céréales	353	11,8	67,6	1,8	2,2	0,36	6,1	6,2
9874	Pâtes sèches, sans gluten, crues	pâtes, riz et céréales	358	6,06	79	0,5	1,5	0,3	1	3
9900	Vermicelles de riz sèches, crues	pâtes, riz et céréales	365	7,44	80,5	traces	1	0,3	1,2	12
9902	Vermicelles de soja sèches, crues	pâtes, riz et céréales	343	0,29	84,7	traces	0,14	0	1,6	15,6
26264	Gnocchi à la pomme de terre, à cuire	pâtes, riz et céréales	176	4,66	35	3,18	1,42	0,3	2,2	468
26265	Gnocchi à la semoule, à cuire	pâtes, riz et céréales	200	6,2	37	9,9	2,6	0,34	1,9	870
51510	Frik (blé dur immature concassé), cru	pâtes, riz et céréales	323	9,62	55,8	traces	2,25	-	19,3	4,2
54035	Gari, semoule de manioc fermentée et séchée	pâtes, riz et céréales	340	1,12	81,6	-	0,73	-	1,4	61,6
7000	Pain (aliment moyen)	pains et assimilés	276	8,18	55	2,38	1,36	0,34	3,86	499
7001	Pain blanc (par ex. : baguette, boule…)	pains et assimilés	287	8,27	58,3	2,3	1,4	0,45	2,7	500
7002	Pain au levain	pains et assimilés	261	7,41	53,1	2,4	1,3	0,17	2,1	500
7007	Pain de tradition française (par ex. : baguette, boule…)	pains et assimilés	279	8,15	56,7	2,1	1	0,27	3,8	509
7009	Pain blanc précuit, à finir de cuire, préemballé	pains et assimilés	265	7,13	53,9	2,67	1,2	0,4	3,5	439
7010	Pain bis (à la farine T80 ou T110)	pains et assimilés	265	8,6	54	2,39	0,33	0,045	4,2	470
7013	Pain sans gluten précuit, à finir de cuire, préemballé	pains et assimilés	234	2,88	39,8	2,65	5,29	1,1	7,22	-
7098	Pain aux céréales et/ou aux graines, préemballé	pains et assimilés	282	8,27	39,7	4,9	7,6	0,76	5,8	460
7099	Pain de campagne, préemballé	pains et assimilés	257	6,68	48,7	2,63	2,81	0,38	3,75	505
7100	Pain de campagne	pains et assimilés	253	7,52	50	2,5	1,3	0,42	4,3	474
7106	Pain complet au seigle, préemballé	pains et assimilés	213	5,7	39,5	4,17	0,9	0,24	8,2	495
7107	Pain aux graines sans gluten, préemballé	pains et assimilés	266	4,74	38,8	3,05	8,55	1,11	6,76	-
7109	Pain de mie complet, sans croûte, préemballé	pains et assimilés	245	7,07	42,8	5,91	3,2	0,5	6,6	447
7110	Pain complet ou intégral (à la farine T150)	pains et assimilés	234	8,66	41,2	2,41	1,7	0,56	7,3	470
7111	Pain de mie complet, préemballé	pains et assimilés	257	7,3	41,8	5,63	4,1	0,57	7,3	425
7113	Pain de mie aux céréales et/ou graines, préemballé	pains et assimilés	290	8,84	43,5	5,6	6,6	1,07	5,9	425
7114	Pain azyme, préemballé	pains et assimilés	372	10,7	74,9	3,14	1,67	0,32	5,41	0,005
7115	Pain au son	pains et assimilés	244	8,3	44,4	2,04	1,94	0,2	6,21	470
7116	Pain de mie blanc sans gluten, préemballé	pains et assimilés	242	3,36	41,2	5,16	5,1	0,98	7,4	394
7117	Pain de mie blanc, sans sucres ajoutés, préemballé	pains et assimilés	290	7,01	48,1	6,13	5,9	0,74	4	454
7125	Pain de seigle et froment	pains et assimilés	260	8,27	51,5	2,4	1	0,32	4,5	450
7130	Pain sans gluten, préemballé	pains et assimilés	249	4,58	37,1	5,9	6,6	0,92	9,9	432
7160	Pain blanc, sans sel ajouté	pains et assimilés	282	8,7	57	4,5	1,17	0,3	2,68	-
7170	Pain panini	pains et assimilés	254	7,48	50,6	2,3	1,1	0,2	4,2	988
7180	Pain pita	pains et assimilés	249	7,48	48,8	2,51	1,5	0,2	3,7	543
7200	Pain de mie blanc, préemballé	pains et assimilés	279	7,06	50,4	6,14	4,37	0,54	2,83	429
7201	Pain de mie blanc, sans croûte, préemballé	pains et assimilés	266	6,93	50,2	7,5	3,23	0,48	2,89	429
7210	Pain de mie brioché, préemballé	pains et assimilés	312	7,78	51,4	10,5	7,26	1,33	3,03	447
7255	Pain aux céréales et/ou graines	pains et assimilés	269	9,58	46,9	2,2	3,2	0,45	5,2	450
7256	Muffin anglais complet, petit pain spécial, préemballé	pains et assimilés	205	10,9	31	7,88	1,7	0,35	8,1	368
7257	Muffin anglais, petit pain spécial, préemballé	pains et assimilés	228	9,06	42,5	6,17	1,1	0,43	3,8	358
